effect_size_number,source,species,order,harass.,nup_gift.,lifetime.,bias.,treatment,experiment,study,con_N,exp_N,adjusted_con_N,con_fecund,con_fecund_SD,exp_fecund,exp_fecund_SD,con_fert,con_fert_SD,exp_fert,exp_fert_SD
154,Li et al. (2014)b,Echinothrips americanus,Thysanoptera,y,n,y,n,once_twice,1,79,30,27,30,146.2,59.2,132.3,55.6,NA,NA,NA,NA
155,Liana (2005),Histiostoma feroniarum,Arachnida,y,n,y,n,once_three,1,80,10,9,10,148.9,49.38,89.44,28.71,NA,NA,NA,NA
156,Liu et al. (2013),Colaphellus bowringi,Coleoptera,n,n,y,y,three_five,1,81,21,14,21,956.29,243.11,1010.79,147.98,NA,NA,NA,NA
157,Londono-Nieto et al. (2023),Drosophila melanogaster,Diptera,y,n,y,n,once_three,1,82,74,73,74,120.01,78.78,93.62,62.19,NA,NA,NA,NA
158,Londono-Nieto et al. (2023),Drosophila melanogaster,Diptera,y,n,y,n,once_three,2,82,74,71,74,125.54,76.51,80.99,51.27,NA,NA,NA,NA
159,Londono-Nieto et al. (2023),Drosophila melanogaster,Diptera,y,n,y,n,once_three,3,82,71,66,71,125.25,49.56,112.19,68.17,NA,NA,NA,NA
160,Lopez and Hoddle (2014),Agrilus coxalis auroguttatus,Coleoptera,y,n,y,n,once_twice,2,83,8,8,8,194.66,145.48,123,80.85,171.59,137.59,95.47,71.57
161,Lopez and Hoddle (2014),Agrilus coxalis auroguttatus,Coleoptera,y,n,y,n,once_twice,3,83,8,7,8,568.89,274.76,428.64,279.7,393.31,214.61,307.46,247.09
162,"Lubanga, Peters and Steinbauer (2018)",Aacanthocnema dobsoni,Hemiptera,y,n,y,n,once_thrice,1,84,37,39,37,16.59,13.87,14.19,10.58,NA,NA,NA,NA
163,Lugo-Olguin and Del Castillo (2007),Sphenarium purpurascens,Orthoptera,n,n,n,n,once_twice,1,85,26,24,26,24.04,8.67,15.29,8.72,NA,NA,NA,NA
164,Macke et al. (2012),Tetranychus urticae,Arachnida,n,n,y,n,once_many,1,86,44,46,44,77.97,10.35,73.91,12.21,NA,NA,NA,NA
165,Maklakov and Lubin (2004),Stegodyphus lineatus,Arachnida,n,n,n,y,once_twice,1,87,38,20,38,49.13,21.51,58.5,19.5,38.89,15.9,48.1,18.83
166,Mangan (1997),Anastrepha ludens,Diptera,y,n,y,n,once_many,1,88,72,58,72,388.3,371.3,215.6,247.3,NA,NA,NA,NA
167,Mangan (1997),Anastrepha ludens,Diptera,y,n,y,n,once_many,2,88,139,134,139,46.9,110.5,107.4,157.2,NA,NA,NA,NA
168,Mangan (1997),Anastrepha ludens,Diptera,y,n,y,n,once_many,3,88,133,93,133,457.9,367.7,775.5,800.4,NA,NA,NA,NA
169,Mangan (1997),Anastrepha ludens,Diptera,y,n,y,n,once_many,4,88,189,182,189,40.3,119.1,40.7,111.5,NA,NA,NA,NA
170,Markow (1985),Drosophila hydei,Diptera,n,n,n,n,once_thrice,1,89,12,12,6,55.29,5.91,55.17,6.8,NA,NA,NA,NA
171,Markow (1985),Drosophila hydei,Diptera,n,n,n,n,once_thrice,2,89,15,15,7.5,56.01,7.23,96.33,8.41,NA,NA,NA,NA
172,Markow (1985),Drosophila hydei,Diptera,n,n,n,n,once_twice,1,89,12,12,6,55.29,5.91,57.88,7.14,NA,NA,NA,NA
173,Markow (1985),Drosophila hydei,Diptera,n,n,n,n,once_twice,2,89,15,14,7.5,56.01,7.23,79.99,7.58,NA,NA,NA,NA
174,Maroja et al. (2009),Gryllus firmus,Orthoptera,n,y,y,n,once_twice,1,90,15,16,15,597.46,414.19,726.77,422.41,NA,NA,NA,NA
175,Martin and Hosken (2004),Saltella sphondylii,Diptera,n,n,y,n,once_twice,2,91,45,45,45,36.16,40.12,29.02,29.38,NA,NA,NA,NA
176,Mbata et al. (1997),Callosobruchus subinnotatus,Coleoptera,n,n,y,n,once_twice,1,92,20,20,6.66,97.8,20.48,110.4,13.84,NA,NA,NA,NA
177,Mbata et al. (1997),Callosobruchus subinnotatus,Coleoptera,n,n,y,n,once_thrice,1,92,20,20,6.66,97.8,20.48,110.4,17.3,NA,NA,NA,NA
178,Mbata et al. (1997),Callosobruchus subinnotatus,Coleoptera,n,n,y,n,once_four,1,92,20,20,6.66,97.8,20.48,96.7,22.63,NA,NA,NA,NA
179,"McNamara, Elgar and Jones (2008a)",Cadra cautella,Lepidoptera,n,y,y,y,once_twice,1,93,15,18,15,135.85,61.66,129.06,71.15,NA,NA,NA,NA
180,"McNamara, Elgar and Jones (2008a)",Cadra cautella,Lepidoptera,n,y,y,y,once_twice,2,93,18,18,18,99.76,50.44,83.63,39.63,NA,NA,NA,NA
181,"McNamara, Elgar and Jones (2008b)",Cadra cautella,Lepidoptera,n,y,y,y,once_twice,1,94,51,6,51,36.27,37.29,42.79,42.13,NA,NA,NA,NA
182,"McNamara, Elgar and Jones (2008c)",Cadra cautella,Lepidoptera,y,n,y,y,once_few,1,95,22,30,22,133.09,52.93,104.11,77.16,107.59,66.03,69.2,77.16
183,Mena-Mocino et al. (2021),Engytatus varians,Hemiptera,y,n,y,n,once_twice,1,96,7,7,3.5,NA,NA,NA,NA,13.71,2.94,15.57,4.95
184,Mena-Mocino et al. (2021),Engytatus varians,Hemiptera,y,n,y,n,once_thrice,1,96,7,7,3.5,NA,NA,NA,NA,13.71,2.94,24.43,5.45
185,Morton (2009),Callosamia promethea,Lepidoptera,n,n,n,n,once_twice,1,99,18,20,18,237.3,28.43,260.1,41.14,NA,NA,NA,NA
186,Oberhauser (1997),Danaus plexippus,Lepidoptera,y,y,y,n,once_twice,1,100,6,9,6,664.5,209.92,700.38,220.53,NA,NA,NA,NA
187,Oberhsauser (1989),Danaus plexippus,Lepidoptera,y,y,y,n,once_twice,1,101,5,7,5,285,250.44,526,181.5,NA,NA,NA,NA
188,Oberhsauser (1989),Danaus plexippus,Lepidoptera,y,y,y,n,once_twice,2,102,7,6,7,477.7,151.09,620.1,194.88,NA,NA,NA,NA
189,Okada et al. (2015),Gnatocerus cornutus,Coleoptera,n,n,y,n,once_four,1,103,25,25,25,142.2,25.25,174.76,31.05,NA,NA,NA,NA
190,Okada et al. (2015),Gnatocerus cornutus,Coleoptera,n,n,y,n,once_four,1,103,25,25,25,NA,NA,NA,NA,158.276,27.65,191.84,21.6
191,Okada et al. (2017),Lasioderma serricorne,Coleoptera,n,n,y,y,once_twice,1,104,30,24,30,NA,NA,NA,NA,33.18,10.02,34.27,7.93
192,Okada et al. (2019),Lasioderma serricorne,Coleoptera,n,n,y,y,once_twice,1,105,60,27,60,33.38,13.09,36.49,13.15,NA,NA,NA,NA
193,Okada et al. (2019),Lasioderma serricorne,Coleoptera,n,n,y,y,once_twice,2,105,77,10,77,33.96,14.83,31.1,5.95,NA,NA,NA,NA
194,Omkar and Pandey (2010),Zygogramma bicolorata,Coleoptera,y,n,n,n,once_five,1,106,10,10,10,294.39,49.44,403.01,63.34,NA,NA,NA,NA
195,Opp and Prokopy (1986),Rhagoletis pomonella,Diptera,n,n,y,y,once_twice,1,107,27,19,27,51.7,52.56,145.19,128.51,9.69,21.36,35.2947,48.8
196,Orsetti and Rutowski (2003),Leptinotarsa decemlineata,Coleoptera,n,n,n,n,once_twice,1,108,9,9,4.5,NA,NA,NA,NA,2.03,2.53,1.81,2.43
197,Orsetti and Rutowski (2003),Leptinotarsa decemlineata,Coleoptera,n,n,n,n,once_thrice,1,108,9,11,4.5,NA,NA,NA,NA,2.03,2.53,1.07,1.38
198,Orteiza et al. (2005),Drosophila melanogaster,Diptera,y,n,n,n,once_many,1,109,100,100,100,NA,NA,NA,NA,30.61,8.24,25.91,7.43
199,Pai and Yan (2003),Tribolium castaneum,Coleoptera,n,n,y,n,once_twice,1,110,10,10,2.5,300.5,173.6,383.2,151.5,NA,NA,NA,NA
200,Pai and Yan (2003),Tribolium castaneum,Coleoptera,n,n,y,n,once_four,1,110,10,10,2.5,300.5,173.6,187,118,NA,NA,NA,NA
201,Pai and Yan (2003),Tribolium castaneum,Coleoptera,n,n,y,n,once_eight,1,110,10,10,2.5,300.5,173.6,235.4,130.3,NA,NA,NA,NA
202,Pai and Yan (2003),Tribolium castaneum,Coleoptera,n,n,y,n,once_ten,1,110,10,10,2.5,300.5,173.6,213.1,106.3,NA,NA,NA,NA
203,Pai and Yan (2003),Tribolium castaneum,Coleoptera,n,n,y,n,once_twice,2,110,10,10,2.5,NA,NA,NA,NA,516,144.8,403.6,183.4
204,Pai and Yan (2003),Tribolium castaneum,Coleoptera,n,n,y,n,once_four,2,110,10,10,2.5,NA,NA,NA,NA,516,144.8,379.9,260.6
205,Pai and Yan (2003),Tribolium castaneum,Coleoptera,n,n,y,n,once_eight,2,110,10,10,2.5,NA,NA,NA,NA,516,144.8,343.5,120.8
206,Pai and Yan (2003),Tribolium castaneum,Coleoptera,n,n,y,n,once_ten,2,110,10,10,2.5,NA,NA,NA,NA,516,144.8,435.8,193.2
207,Pai and Yan (2020),Tribolium castaneum,Coleoptera,n,n,y,n,once_eight,1,111,20,20,5,NA,NA,NA,NA,66.4,55.9,258.59,167.71
208,Pai and Yan (2020),Tribolium castaneum,Coleoptera,n,n,y,n,once_four,1,111,20,20,5,NA,NA,NA,NA,66.4,55.9,276.56,199.14
209,Pai and Yan (2020),Tribolium castaneum,Coleoptera,n,n,y,n,once_twice,1,111,20,20,5,NA,NA,NA,NA,66.4,55.9,231.25,195.66
210,Pai and Yan (2020),Tribolium castaneum,Coleoptera,n,n,y,n,once_twice,1,111,20,20,5,NA,NA,NA,NA,66.4,55.9,101.56,76.88
211,"Pappas, Broufas and Koveos  (2007)",Kampimodromus aberrans,Mesostigmata,n,y,y,n,once_three,1,112,24,28,12,12.3,6.37,28,7.94,NA,NA,NA,NA
212,"Pappas, Broufas and Koveos  (2007)",Kampimodromus aberrans,Mesostigmata,y,y,y,n,once_many,2,112,24,32,12,12.3,6.37,30.5,13.58,NA,NA,NA,NA
213,"Parker, Roessingh and Menken (2013)",Yponomeuta cagnagellus,Lepidoptera,n,y,y,y,once_twice,1,113,23,21,23,224.12,18.33,209.44,18.85,NA,NA,NA,NA
214,"Parker, Roessingh and Menken (2013)",Yponomeuta cagnagellus,Lepidoptera,n,y,y,y,once_twice,2,113,24,22,24,123.04,21.99,160.76,11,NA,NA,NA,NA
215,"Parker, Roessingh and Menken (2013)",Yponomeuta cagnagellus,Lepidoptera,y,y,y,y,once_few,1,113,23,26,23,224.12,18.33,181.16,23.56,NA,NA,NA,NA
216,"Parker, Roessingh and Menken (2013)",Yponomeuta cagnagellus,Lepidoptera,y,y,y,y,once_few,2,113,24,22,24,123.04,21.99,140.32,22.51,NA,NA,NA,NA
217,"Parker, Roessingh and Menken (2013)",Yponomeuta padellus,Lepidoptera,n,y,y,y,once_twice,3,113,24,18,12,46.6,7.85,41.36,9.42,NA,NA,NA,NA
218,"Parker, Roessingh and Menken (2013)",Yponomeuta padellus,Lepidoptera,n,y,y,y,once_twice,4,113,25,20,12.5,41.88,7.85,25.64,6.28,NA,NA,NA,NA
219,"Parker, Roessingh and Menken (2013)",Yponomeuta padellus,Lepidoptera,y,y,y,y,once_few,3,113,24,24,12,46.6,7.85,23.04,5.24,NA,NA,NA,NA
220,"Parker, Roessingh and Menken (2013)",Yponomeuta padellus,Lepidoptera,y,y,y,y,once_few,4,113,25,25,12.5,41.88,7.85,37.16,1.83,NA,NA,NA,NA
221,Priest et al. (2008),Drosophila melanogaster,Diptera,y,n,y,n,few_many,1,115,195,130,97.5,NA,NA,NA,NA,546.4,317,486.9,309
222,Priest et al. (2008),Drosophila melanogaster,Diptera,y,n,y,n,few_many,1,115,195,179,97.5,NA,NA,NA,NA,546.4,317,378.2,270.3
223,Pyle and Gromko (1978),Drosophila melanogaster,Diptera,n,n,n,n,once_twice,1,116,107,70,107,NA,NA,NA,NA,450,NA,1053,NA
224,Radwan and Rysinska (1999),Sancassania berlesei,Arachnida,y,n,y,n,once_four,1,117,12,12,12,154.53,56.95,145.83,57.82,NA,NA,NA,NA
225,Radwan and Rysinska (1999),Sancassania berlesei,Arachnida,y,n,y,n,once_four,1,117,12,12,12,216.04,58.7,86.45,64.85,NA,NA,NA,NA
226,Radwan and Rysinska (1999),Sancassania berlesei,Arachnida,y,n,y,n,once_four,1,117,12,12,12,238.16,138.41,119.95,84.97,NA,NA,NA,NA
227,Radwan and Rysinska (1999),Sancassania berlesei,Arachnida,y,n,y,n,once_four,1,117,12,12,12,170,90.23,135.03,86.72,NA,NA,NA,NA
228,Radwan and Rysinska (1999),Sancassania berlesei,Arachnida,y,n,y,n,once_four,1,117,12,12,12,102.72,75.34,75.62,49.93,NA,NA,NA,NA
229,Radwan and Rysinska (1999),Sancassania berlesei,Arachnida,y,n,y,n,once_four,2,117,12,12,12,23.34,15.56,46.79,15.56,NA,NA,NA,NA
230,Radwan and Rysinska (1999),Sancassania berlesei,Arachnida,y,n,y,n,once_four,2,117,12,12,12,44.34,27.69,34.93,13.83,NA,NA,NA,NA
231,Radwan and Rysinska (1999),Sancassania berlesei,Arachnida,y,n,y,n,once_four,2,117,12,12,12,55.87,45.85,52.5,22.48,NA,NA,NA,NA
232,Radwan and Rysinska (1999),Sancassania berlesei,Arachnida,y,n,y,n,once_four,2,117,12,12,12,82.09,40.65,57.94,25.94,NA,NA,NA,NA
233,Radwan and Rysinska (1999),Sancassania berlesei,Arachnida,y,n,y,n,once_four,2,117,12,12,12,45.12,19.9,53,35.46,NA,NA,NA,NA
234,Ravi Kumar et al. (1995),Antheraea mylitta,Lepidoptera,n,n,n,n,once_twice,1,118,15,15,15,207.26,14.41,271.8,15.18,NA,NA,NA,NA
235,Ravi Kumar et al. (1995),Antheraea mylitta,Lepidoptera,n,n,n,n,once_twice,1,118,15,15,15,228.67,17.66,292.61,14.02,NA,NA,NA,NA
236,Ravi Kumar et al. (1995),Antheraea mylitta,Lepidoptera,n,n,n,n,once_twice,1,118,15,15,15,215.23,12.2,282.4,15.96,NA,NA,NA,NA
237,Ronn et al. (2006),Callosobruchus maculatus,Coleoptera,y,n,y,n,once_many,1,119,15,15,15,70.3,23.1,73.7,16.7,NA,NA,NA,NA
238,Ronn et al. (2006),Callosobruchus maculatus,Coleoptera,y,n,y,n,once_many,2,119,15,15,15,90.3,13.8,77,11.5,NA,NA,NA,NA
239,Ronn et al. (2006),Callosobruchus chinensis,Coleoptera,y,n,y,n,once_many,3,119,15,15,15,47.3,20.6,43.7,13,NA,NA,NA,NA
240,Ronn et al. (2006),Callosobruchus rhodesianus,Coleoptera,y,n,y,n,once_many,4,119,15,15,15,67.3,22.3,67.5,28.5,NA,NA,NA,NA
241,Ronn et al. (2006),Callosobruchus analis,Coleoptera,y,n,y,n,once_many,5,119,15,15,15,75.1,21.6,62.5,7.6,NA,NA,NA,NA
242,Ronn et al. (2006),Callosobruchus subinnotatus,Coleoptera,y,n,y,n,once_many,6,119,15,15,15,33.3,15.6,34.7,20,NA,NA,NA,NA
243,Ronn et al. (2006),Callosobruchus phaseoli,Coleoptera,y,n,y,n,once_many,7,119,15,15,15,45.9,24.1,42.7,8.4,NA,NA,NA,NA
244,Rooney & Lewis (2002),Photinus ignitus,Coleoptera,n,y,y,n,once_thrice,1,120,20,20,20,18.5,14.3,32,14.3,NA,NA,NA,NA
245,Rooney & Lewis (2002),Ellychnia corrusca,Coleoptera,n,y,y,n,once_thrice,1,120,35,35,35,18.7,11.8,26.3,11.8,NA,NA,NA,NA
246,Roth (1968),Eublaberus posticus,Blattodea,n,y,y,n,once_twice,1,121,13,12,13,NA,NA,NA,NA,81.4,26.68,89.2,31.87
247,Roth (1968),Eublaberus posticus,Blattodea,n,y,y,n,once_twice,1,121,9,27,9,NA,NA,NA,NA,25.8,11.4,35.9,31.18
248,Ryne et al. (2001),Plodia interpunctella,Lepidoptera,n,y,n,y,once_twice,1,122,30,5,30,NA,NA,NA,NA,123.1,72.8,57.4,98.2
249,Saber and Momen (2000),Amblyseius zaheri,Arachnida,y,n,y,n,once_many,1,123,15,15,15,17.3,6.2,53.8,5.81,NA,NA,NA,NA
250,Sahu (2012),Anegleis cardoni,Coleoptera,n,n,y,y,once_five,1,124,10,10,2,109.2,18.3,224.7,20.9,NA,NA,NA,NA
251,Sahu (2012),Anegleis cardoni,Coleoptera,n,n,y,y,once_ten,1,124,10,10,2,109.2,18.3,277.4,17.4,NA,NA,NA,NA
252,Sahu (2012),Anegleis cardoni,Coleoptera,n,n,y,y,once_fifteen,1,124,10,10,2,109.2,18.3,283.8,59.8,NA,NA,NA,NA
253,Sahu (2012),Anegleis cardoni,Coleoptera,n,n,y,y,once_twenty,1,124,10,10,2,109.2,18.3,286.3,14.2,NA,NA,NA,NA
254,Sahu (2012),Anegleis cardoni,Coleoptera,n,n,y,y,once_twentyfive,1,124,10,10,2,109.2,18.3,286.2,51.2,NA,NA,NA,NA
255,Sakaluk & Cade (1980),Acheta domesticus,Orthoptera,y,y,n,y,once_twice,1,125,56,27,56,NA,NA,NA,NA,61.89,62.16,87.33,62.26
256,Sakaluk & Cade (1980),Gryllus integer,Orthoptera,y,y,n,y,once_twice,2,125,8,8,8,NA,NA,NA,NA,121,136.8,172.5,107.5
257,Sakaluk et al. (2002),Gryllodes sigillatus,Orthoptera,y,y,n,n,once_five,1,126,24,24,24,288.1,159.22,318,157.75,NA,NA,NA,NA
258,Sakurai (1996),Riptortus clavatus,Hemiptera,n,n,y,n,once_twice,1,127,25,13,25,215.7,84.3,323.4,105.6,104.4,62.9,172.2,62.6
259,Sakurai and Kasuya (2008),Callosobruchus chinensis,Coleoptera,n,n,y,y,once_twice,1,128,20,26,20,38.42,6.42,52.11,5.14,24.76,6.34,44.93,4.81
260,Sakurai and Kasuya (2008),Callosobruchus chinensis,Coleoptera,n,n,y,y,once_twice,2,128,27,24,27,35.27,5.25,37.16,3.97,26.17,5.87,28.61,4.93
261,Santolamazza-Carbone and Cordero Rivera (2003),Gonipterus scutellatus,Coleoptera,y,n,n,y,once_twice,1,129,20,20,20,141.3,42.04,187.6,122.54,NA,NA,NA,NA
262,Santolamazza-Carbone and Pestana (2010),Anaphes nitens,Hymenoptera,n,n,y,y,once_twice,1,130,17,21,17,31.81,20.2,32.95,18.56,NA,NA,NA,NA
263,Santostefano et al. (2018),Arctia plantaginis,Lepidoptera,n,y,y,y,once_twice,1,131,36,46,36,280.3,124.58,296.17,121.72,173.5,144.61,172.35,130.96
264,Savalli and Fox (1999),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_four,1,132,47,47,47,73.58,35.92,96.79,17.34,NA,NA,NA,NA
265,Schwartz and Peterson (2006),Chrysochus cobaltinus,Coleoptera,n,n,y,n,once_ten,1,133,16,17,16,160.4,115.6,356.3,153,NA,NA,NA,NA
266,Shelley (2000),Bactrocera dorsalis,Diptera,y,n,n,y,once_twice,1,134,61,67,61,488,277,628,251,NA,NA,NA,NA
267,Shuker et al. (2006),Lygaeus equestris,Hemiptera,y,n,y,n,once_thrice,1,135,21,21,21,192.3,132.08,37.53,42.31,NA,NA,NA,NA
268,Shuker et al. (2006),Lygaeus equestris,Hemiptera,y,n,y,n,once_three,2,135,21,21,21,79.9,100.7,51.5,137.62,NA,NA,NA,NA
269,Simmons (1988),Gryllus bimaculatus,Orthoptera,n,y,y,n,once_thrice,1,136,10,10,10,2256,855,2663,1102,NA,NA,NA,NA
270,Svard and McNeil (1994),Mythimna unipuncta,Lepidoptera,n,y,y,y,once_twice,1,138,23,24,23,1623.5,472.2,2042.5,513.6,NA,NA,NA,NA
271,Svensson et al. (1998),Agrotis segetum,Lepidoptera,n,y,y,y,once_twice,1,139,74,20,74,590,258.1,670,268.3,NA,NA,NA,NA
272,Taylor et al. (2008),Drosophila simulans,Diptera,y,n,y,n,once_twice,1,140,21,26,10.5,NA,NA,NA,NA,215.8,121.4,308.6,175.9
273,Taylor et al. (2008),Drosophila simulans,Diptera,y,n,y,n,once_thrice,2,140,21,15,10.5,NA,NA,NA,NA,215.8,121.4,388.8,138.3
274,Toft and Albo (2015),Pisaura mirabilis,Arachnida,n,y,n,n,once_twice,1,141,8,9,2,78.6,21.5,65.8,16.2,NA,NA,NA,NA
275,Toft and Albo (2015),Pisaura mirabilis,Arachnida,n,y,n,n,once_thrice,1,141,8,6,2,78.6,21.5,69.2,2.94,NA,NA,NA,NA
276,Toft and Albo (2015),Pisaura mirabilis,Arachnida,n,y,n,n,once_six,1,141,8,8,2,78.6,21.5,69.4,17.25,NA,NA,NA,NA
277,Toft and Albo (2015),Pisaura mirabilis,Arachnida,n,y,n,n,once_many,1,141,8,9,2,78.6,21.5,55.8,13.8,NA,NA,NA,NA
278,Tseng et al. (2007),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_twice,1,142,21,21,21,77.3,30.2,96.5,27.5,NA,NA,NA,NA
279,Tuler et al. (2018),Tenuisvalvae gnoma,Coleoptera,n,n,n,n,once_ten,1,143,10,10,10,14.57,11.68,10.18,9.49,7.8,6.8,5.53,6.7
280,"Uhl, Schmitt and Schafer (2005)",Pholcus phalangioides,Arachnida,n,n,n,y,once_twice,1,144,29,35,29,NA,NA,NA,NA,68.85,39.56,53.86,28.27
281,Vahed (2003),Leptophyes punctatissima,Orthoptera,n,y,n,n,once_twice,1,145,8,12,8,40.1,19.52,98,19.75,NA,NA,NA,NA
282,Wagner et al. (2001),Gryllus lineaticeps,Orthoptera,n,y,y,y,once_thrice,1,146,19,19,19,332.6,353.1,661.8,305.6,NA,NA,NA,NA
283,Wang and Davis (2006),Nysius huttoni,Hemiptera,n,n,n,n,once_twice,1,147,45,45,22.5,326.21,744.91,363.87,891.05,NA,NA,NA,NA
284,Wang and Davis (2006),Nysius huttoni,Hemiptera,y,n,n,n,once_many,1,147,45,22,22.5,326.21,744.91,408.07,796.71,NA,NA,NA,NA
285,Wang et al. (2005),Plutella xylostella,Lepidoptera,n,y,y,y,once_twice,1,148,32,8,32,127.87,124.3,143.18,83.2,NA,NA,NA,NA
286,Wang et al. (2018),Galerucella birmanica,Coleoptera,n,n,y,n,once_twice,1,149,10,10,10,387.54,20.04,395.2,33.41,191.58,14.98,198.95,18.31
287,Ward and Landolt (1995),Trichoplusia ni,Lepidoptera,n,y,y,y,once_twice,1,151,12,18,4,1376,304.8,1529,216.4,NA,NA,NA,NA
288,Ward and Landolt (1995),Trichoplusia ni,Lepidoptera,n,y,y,y,once_thrice,1,151,12,24,4,1376,304.8,1534,264.5,NA,NA,NA,NA
289,Ward and Landolt (1995),Trichoplusia ni,Lepidoptera,n,y,y,y,once_few,1,151,12,10,4,1376,304.8,1708,284.6,NA,NA,NA,NA
290,"Wedell, Tregenza and Simmons (2008)",Requena verticalis,Orthoptera,n,n,y,n,once_thrice,1,152,11,11,11,41.9,32.5,42.3,24.5,NA,NA,NA,NA
291,Wei et al. (2015),Bactrocera dorsalis,Diptera,n,n,y,n,once_twice,1,153,18,20,9,NA,NA,NA,NA,382.82,136.31,376.71,144
292,Wei et al. (2015),Bactrocera dorsalis,Diptera,y,n,y,n,once_twice,1,153,18,19,9,NA,NA,NA,NA,382.82,136.31,950.37,421.03
293,Wenninger and Hall (2008),Diaphorina citri,Hemiptera,n,n,y,n,once_thrice,1,154,16,13,16,127.4,52.8,171.9,64.9,NA,NA,NA,NA
294,Wenninger and Hall (2008),Diaphorina citri,Hemiptera,y,n,y,n,once_thrice,2,154,16,5,16,180.1,92,61.7,40.03,NA,NA,NA,NA
295,Wiklund et al. (1993),Pieris napi,Lepidoptera,y,y,y,n,once_twice,1,155,22,25,22,247,220.5,440,245,NA,NA,NA,NA
296,Wilson and Tomkins (2015),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_twice,1,156,20,8,6.66,45.94,NA,40.36,NA,40.57,NA,37,NA
297,Wilson and Tomkins (2015),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_thrice,1,156,20,98,6.66,45.94,NA,40.98,NA,40.57,NA,32.04,NA
298,Wilson and Tomkins (2015),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_four,1,156,20,52,6.66,45.94,NA,37.52,NA,40.57,NA,29.12,NA
299,Wilson and Tomkins (2015),Callosobruchus maculatus,Coleoptera,y,n,y,n,once_twice,2,156,22,45,7.33,44.49,NA,38.91,NA,39.36,NA,35.86,NA
300,Wilson and Tomkins (2015),Callosobruchus maculatus,Coleoptera,y,n,y,n,once_thrice,2,156,22,81,7.33,44.49,NA,39.74,NA,39.36,NA,30.84,NA
301,Wilson and Tomkins (2015),Callosobruchus maculatus,Coleoptera,y,n,y,n,once_four,2,156,22,65,7.33,44.49,NA,36.12,NA,39.36,NA,27.97,NA
302,"Wilson, Tufton and Eady (1999)",Callosobruchus maculatus,Coleoptera,n,n,y,n,once_twice,1,157,22,18,11,52.3,30.77,72.62,28.51,NA,NA,NA,NA
303,"Wilson, Tufton and Eady (1999)",Callosobruchus maculatus,Coleoptera,n,n,y,n,once_thrice,1,157,22,16,11,52.3,30.77,73.28,32.12,NA,NA,NA,NA
304,"Wilson, Tufton and Eady (1999)",Callosobruchus maculatus,Coleoptera,n,n,y,n,once_twice,2,157,22,22,11,57.47,31.9,59.87,31.9,NA,NA,NA,NA
305,"Wilson, Tufton and Eady (1999)",Callosobruchus maculatus,Coleoptera,n,n,y,n,once_thrice,2,157,22,15,11,57.47,31.9,62.53,31.1,NA,NA,NA,NA
306,Woodhead (1985),Diploptera punctata,Blattodea,n,y,n,y,once_twice,1,158,18,18,18,11.9,0.8,12.4,0.6,10.2,3.9,12.3,0.6
307,Worden and Parker (2001),Tenebrio molitor,Coleoptera,n,y,y,y,once_twice,1,159,21,20,10.5,NA,NA,NA,NA,23.1,22.15,39.25,30.34
308,Worden and Parker (2001),Tenebrio molitor,Coleoptera,n,y,y,y,once_five,1,159,21,21,10.5,NA,NA,NA,NA,23.1,22.15,47.98,25.26
309,Worden and Parker (2001),Tenebrio molitor,Coleoptera,n,y,y,n,once_four,3,159,22,21,22,38.08,39.58,93.64,36.46,NA,NA,NA,NA
310,Worden and Parker (2001),Tenebrio molitor,Coleoptera,n,y,y,n,once_four,4,159,22,21,22,35.21,44.09,76.3,35.34,NA,NA,NA,NA
311,Worthington and Kelly (2016),Gryllus texensis,Orthoptera,n,y,n,n,once_twice,1,160,85,80,42.5,250,129.07,287,143.11,NA,NA,NA,NA
312,Worthington and Kelly (2016),Gryllus texensis,Orthoptera,y,y,n,n,once_many,1,160,85,77,42.5,250,129.07,295,96.52,NA,NA,NA,NA
313,Yan et al. (2024)a,Drosophila melanogaster,Diptera,n,n,y,y,few_many,1,161,37,39,18.5,NA,NA,NA,NA,780.38,347.02,890.18,292.35
314,Yan et al. (2024)a,Drosophila melanogaster,Diptera,n,n,y,y,few_many,1,161,37,40,18.5,NA,NA,NA,NA,780.38,347.02,1055.75,275.23
315,Yan et al. (2024)b,Cimex lectularius,Hemiptera,n,n,y,n,few_many,1,162,19,19,19,122.4737,23.02503,78.68421,18.41211,120.68421,22.91543,76.789474,18.41211
316,Yasui (1997),Parasitus fimetorum,Arachnida,n,y,y,n,once_seven,1,163,12,22,12,21.08,9.28,90.68,45.31,NA,NA,NA,NA
317,"Zhan, Liu and Liu (2020)",Agriphila aeneociliella,Lepidoptera,y,n,y,y,once_twice,1,164,30,6,30,390.65,69.67,615.83,36.74,NA,NA,NA,NA
318,Zhao et al. (2019),Plagiodera versicolora,Coleoptera,n,n,y,n,once_twice,1,165,28,28,7,181.2458,114.58,91.44,62.8,NA,NA,NA,NA
319,Zhao et al. (2019),Plagiodera versicolora,Coleoptera,n,n,y,n,once_thrice,1,165,28,28,7,181.2458,114.58,60.84,41.9,NA,NA,NA,NA
